Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 67021716k(60615216k free), swap 71216020k(62113632k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=52428800 -XX:+ManagementServer -XX:MaxHeapSize=52428800 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-02-27T09:30:51.225+0800: 0.447: [GC (Allocation Failure) [PSYoungGen: 12800K->2024K(14848K)] 12800K->2331K(49152K), 0.0019391 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-27T09:30:51.590+0800: 0.812: [GC (Allocation Failure) [PSYoungGen: 14824K->2040K(14848K)] 15131K->3976K(49152K), 0.0255459 secs] [Times: user=0.01 sys=0.00, real=0.03 secs] 
2020-02-27T09:30:51.984+0800: 1.206: [GC (Allocation Failure) [PSYoungGen: 14840K->2040K(14848K)] 16776K->5476K(49152K), 0.0111123 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-02-27T09:30:52.198+0800: 1.420: [GC (Allocation Failure) [PSYoungGen: 14840K->2040K(14848K)] 18276K->6827K(49152K), 0.0059784 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-02-27T09:30:52.276+0800: 1.498: [GC (Allocation Failure) [PSYoungGen: 14840K->2040K(14848K)] 19627K->8075K(49152K), 0.0034331 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-27T09:30:52.338+0800: 1.559: [GC (Allocation Failure) [PSYoungGen: 14840K->2040K(10752K)] 20875K->9631K(45056K), 0.0029369 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-27T09:30:52.395+0800: 1.617: [GC (Allocation Failure) [PSYoungGen: 10744K->2113K(11264K)] 18335K->10759K(45568K), 0.0017103 secs] [Times: user=0.06 sys=0.05, real=0.00 secs] 
2020-02-27T09:30:52.443+0800: 1.665: [GC (Allocation Failure) [PSYoungGen: 10817K->2121K(12288K)] 19463K->11404K(46592K), 0.0016962 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-27T09:30:52.478+0800: 1.700: [GC (Allocation Failure) [PSYoungGen: 9801K->1943K(12288K)] 19084K->11626K(46592K), 0.0015514 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-27T09:30:52.559+0800: 1.781: [GC (Metadata GC Threshold) [PSYoungGen: 8483K->1152K(12288K)] 18166K->11445K(46592K), 0.0014741 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-27T09:30:52.561+0800: 1.783: [Full GC (Metadata GC Threshold) [PSYoungGen: 1152K->0K(12288K)] [ParOldGen: 10292K->5799K(34304K)] 11445K->5799K(46592K), [Metaspace: 20694K->20692K(1067008K)], 0.0211315 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-02-27T09:30:52.626+0800: 1.847: [GC (Allocation Failure) [PSYoungGen: 7680K->1327K(12288K)] 13479K->7134K(46592K), 0.0011562 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
